genKey,seed,eid,eventName,trainer,city,mon,types,nature,natOK,ability,abilHidden,item,hasItem,moveCount,stab,coverage,avgBP,maxBP,status,priority,moves
gen1,1000,68,Rival,Blue,0,Drowzee,Psychic,Quirky,neutral,Insomnia,def,,0,4,1,1,90,90,1,0,"Psychic / Counter / Wish / Protect"
gen1,1000,1,Basic Trainer,Picnicker,0,Bellsprout,Grass/Poison,Serious,neutral,Chlorophyll,def,,0,4,1,2,95,120,1,1,"Growth / Sunny Day / Solar Beam / Sucker Punch"
gen1,1000,1,Basic Trainer,Picnicker,0,Oddish,Grass/Poison,Quirky,neutral,Chlorophyll,def,,0,4,3,3,86.25,120,0,0,"Solar Beam / Sludge Bomb / Hidden Power Fire / Giga Drain"
gen1,1000,1,Basic Trainer,Picnicker,0,Exeggcute,Grass/Psychic,Hardy,neutral,Chlorophyll,def,,0,4,0,0,0,0,1,0,"Reflect / Light Screen / Sleep Powder / Sunny Day"
gen1,1000,1,Basic Trainer,Picnicker,0,Paras,Bug/Grass,Docile,neutral,Effect Spore,def,,0,4,2,2,52.5,80,1,0,"Rain Dance / X-Scissor / Bullet Seed / Stun Spore"
gen1,1000,1,Basic Trainer,Picnicker,0,Bulbasaur,Grass/Poison,Bashful,neutral,Overgrow,def,,0,4,2,2,82.5,90,1,0,"Sludge Bomb / Giga Drain / Sleep Powder / Sunny Day"
gen1,1000,1,Basic Trainer,Picnicker,0,Gastly,Ghost/Poison,Bashful,neutral,Levitate,def,,0,4,2,2,85,90,1,0,"Trick / Shadow Ball / Sludge Bomb / Will-O-Wisp"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Abra,Psychic,Hardy,neutral,Synchronize,def,,0,4,1,3,106.67,150,1,0,"Psychic / Dazzling Gleam / Focus Punch / Substitute"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Drowzee,Psychic,Docile,neutral,Insomnia,def,,0,4,1,1,90,90,1,0,"Psychic / Counter / Wish / Protect"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Exeggcute,Grass/Psychic,Bashful,neutral,Chlorophyll,def,,0,4,1,2,90,120,1,0,"Sunny Day / Solar Beam / Hidden Power Ice / Sleep Powder"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Slowpoke,Water/Psychic,Quirky,neutral,Oblivious,def,,0,4,3,3,102.5,120,0,0,"Future Sight / Fire Blast / Psychic / Aqua Tail"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Dratini,Dragon,Serious,neutral,Shed Skin,def,,0,4,1,4,100,120,0,1,"Outrage / Extreme Speed / Fire Blast / Surf"
gen1,1000,4,Gym Trainer 1,Psychic F,1,Voltorb,Electric,Docile,neutral,Soundproof,def,,0,4,0,1,250,250,1,0,"Reflect / Light Screen / Explosion / Taunt"
gen1,1000,5,Gym Leader 1,Sabrina,1,Abra,Psychic,Hardy,neutral,Synchronize,def,,0,4,1,2,82.5,90,1,0,"Substitute / Psychic / Signal Beam / Encore"
gen1,1000,5,Gym Leader 1,Sabrina,1,Exeggcute,Grass/Psychic,Serious,neutral,Chlorophyll,def,,0,4,2,3,140,250,0,0,"Solar Beam / Leaf Storm / Explosion / Hidden Power Fire"
gen1,1000,5,Gym Leader 1,Sabrina,1,Eevee,Normal,Serious,neutral,Adaptability,alt,,0,4,1,3,53.33,60,0,1,"Return / Quick Attack / Bite / Hidden Power Ice"
gen1,1000,5,Gym Leader 1,Sabrina,1,Slowpoke,Water/Psychic,Hardy,neutral,Oblivious,def,,0,4,2,2,85,90,1,0,"Scald / Psychic / Slack Off / Toxic"
