genKey,gens,seed,eid,eventName,trainer,trainerType,city,badges,partyCap,mon,gen,grade,bst,mult,hp,atk,def,spa,spd,spe,total,evTotal,ivAvg,nature,ability,item,gimmick
gen1,1,1000,68,Rival,Blue,Mixed,0,0,2,Drowzee,1,4,328,0.75,92,40,38,36,73,36,315,56,1.33,Quirky,Insomnia,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Bellsprout,1,4,300,0.8,88,64,32,60,28,36,308,0,0,Serious,Chlorophyll,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Oddish,1,4,320,0.8,84,44,48,64,56,28,324,16,0,Quirky,Chlorophyll,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Exeggcute,1,4,325,0.8,96,36,68,52,40,37,329,28,0,Hardy,Chlorophyll,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Paras,1,4,285,0.8,76,60,48,40,48,24,296,4,0,Docile,Effect Spore,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Bulbasaur,1,4,318,0.8,84,43,43,58,56,42,326,48,0,Bashful,Overgrow,,STANDARD
gen1,1,1000,1,Basic Trainer,Picnicker,Grass,0,0,2,Gastly,1,4,310,0.8,72,32,28,86,32,70,320,48,0,Bashful,Levitate,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Abra,1,4,310,0.85,75,25,20,102,55,90,367,112,8.83,Hardy,Synchronize,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Drowzee,1,4,328,0.85,112,48,45,45,90,43,383,120,8.5,Docile,Insomnia,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Exeggcute,1,4,325,0.85,103,42,74,62,46,45,372,104,7,Bashful,Chlorophyll,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Slowpoke,1,4,315,0.85,136,62,68,39,41,20,366,108,7.33,Quirky,Oblivious,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Dratini,1,4,300,0.85,89,69,45,50,48,57,358,144,8,Serious,Shed Skin,,STANDARD
gen1,1,1000,4,Gym Trainer 1,Psychic F,Psychic,1,0,2,Voltorb,1,4,330,0.85,87,32,49,62,52,97,379,124,6.67,Docile,Soundproof,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Abra,1,4,310,0.85,74,22,18,104,52,90,360,148,5.83,Hardy,Synchronize,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Exeggcute,1,4,325,0.85,105,42,75,64,45,49,380,144,8,Serious,Chlorophyll,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Eevee,1,4,325,0.85,100,60,49,45,63,60,377,140,6.5,Serious,Adaptability,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Slowpoke,1,4,315,0.85,137,63,68,42,39,19,368,144,7,Hardy,Oblivious,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Drowzee,1,4,328,0.85,112,48,44,44,91,43,382,144,7.17,Quirky,Insomnia,,STANDARD
gen1,1,1000,5,Gym Leader 1,Sabrina,Psychic,1,0,2,Vulpix,1,4,299,0.85,86,41,40,57,62,70,356,140,7.67,Quirky,Flash Fire,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Vulpix,1,4,299,0.85,85,39,39,51,60,65,339,68,3.67,Hardy,Flash Fire,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Charmander,1,4,309,0.85,84,48,42,60,48,62,344,56,3,Hardy,Blaze,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Exeggcute,1,4,325,0.85,102,38,72,59,42,43,356,72,1.5,Hardy,Chlorophyll,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Shellder,1,4,305,0.85,77,62,89,43,25,41,337,64,1.33,Docile,Shell Armor,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Seel,1,4,325,0.85,106,44,52,45,64,45,356,60,2.17,Hardy,Thick Fat,,STANDARD
gen1,1,1000,7,Basic Trainer,Burglar,Fire,1,1,3,Rhyhorn,1,4,345,0.85,124,78,90,29,30,27,378,80,3.17,Hardy,Lightning Rod,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Horsea,1,4,295,0.85,76,39,63,69,25,61,333,96,1.67,Hardy,Swift Swim,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Slowpoke,1,4,315,0.85,132,60,66,38,39,17,352,88,2.17,Quirky,Oblivious,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Doduo,1,4,310,0.85,82,79,44,34,34,73,346,72,3.17,Docile,Run Away,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Seel,1,4,325,0.85,106,43,51,48,65,48,361,80,3,Serious,Thick Fat,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Drowzee,1,4,328,0.85,107,46,42,40,85,39,359,76,1.5,Serious,Insomnia,,STANDARD
gen1,1,1000,8,Basic Trainer,Boarder,Ice,1,1,3,Pidgeotto,1,4,349,0.85,105,60,51,46,47,68,377,84,1.17,Hardy,Keen Eye,,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Haunter,1,3,405,0.9,100,55,51,125,60,106,497,188,14.33,Quirky,Levitate,Aspear Berry,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Gastly,1,4,310,0.9,87,40,36,110,41,91,405,192,11.67,Hardy,Levitate,Chesto Berry,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Exeggcute,1,4,325,0.9,114,46,81,74,50,56,421,184,13.33,Hardy,Chlorophyll,Sitrus Berry,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Ivysaur,1,3,405,0.9,114,66,67,90,82,72,491,168,13.5,Docile,Overgrow,Chesto Berry,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Eevee,1,4,325,0.9,108,71,55,51,68,68,421,184,13.5,Bashful,Run Away,Pecha Berry,STANDARD
gen1,1,1000,10,Gym Trainer 1,Hex Maniac,Ghost,2,1,3,Goldeen,1,4,320,0.9,99,79,63,37,54,83,415,172,12.17,Jolly,Swift Swim,Sitrus Berry,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Haunter,1,3,405,0.9,99,55,51,125,60,107,497,188,13.83,Quirky,Levitate,Aspear Berry,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Gastly,1,4,310,0.9,87,36,36,120,42,91,412,172,13,Modest,Levitate,,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Dragonair,1,3,420,0.9,115,94,67,72,72,83,503,176,12.33,Docile,Shed Skin,Chesto Berry,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Hitmonlee,1,3,455,0.9,105,127,56,42,108,98,536,160,13.5,Hardy,Limber,Sitrus Berry,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Dodrio,1,3,470,0.9,112,118,72,64,63,117,546,172,11.83,Quirky,Early Bird,Aspear Berry,STANDARD
gen1,1,1000,11,Gym Leader 2,Morty,Ghost,2,1,3,Nidorina,1,3,365,0.9,122,67,71,59,58,77,454,176,13,Timid,Poison Point,Aspear Berry,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Cubone,1,4,320,0.9,103,58,96,45,53,46,401,136,9.17,Serious,Rock Head,,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Haunter,1,3,405,0.9,99,53,48,118,57,101,476,136,8.83,Serious,Levitate,Poison Barb,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Gastly,1,4,310,0.9,84,36,36,117,39,88,400,152,8.83,Modest,Levitate,,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Doduo,1,4,310,0.9,87,92,47,38,38,81,383,128,6.83,Hardy,Run Away,Silk Scarf,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Beedrill,1,3,395,0.9,115,95,44,47,79,81,461,104,7.83,Hardy,Swarm,Silver Powder,STANDARD
gen1,1,1000,14,Basic Trainer,Channeler,Ghost,2,2,4,Farfetch’d,1,3,377,0.9,103,94,55,60,63,67,442,120,6.5,Bashful,Keen Eye,Silk Scarf,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Zubat,1,4,245,0.9,94,54,40,35,44,63,330,120,9,Serious,Inner Focus,Poison Barb,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Venomoth,1,3,450,0.9,128,65,65,88,80,89,515,148,7.83,Hardy,Shield Dust,Sitrus Berry,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Koffing,1,4,340,0.9,100,66,100,62,48,39,415,120,9.17,Docile,Neutralizing Gas,,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Ivysaur,1,3,405,0.9,117,62,71,80,80,60,470,120,6.83,Docile,Overgrow,,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Rattata,1,4,253,0.9,84,65,41,31,39,78,338,120,9,Serious,Run Away,,STANDARD
gen1,1,1000,15,Basic Trainer,Team Rocket Grunt,Poison,2,2,4,Haunter,1,3,405,0.9,99,45,47,117,56,108,472,128,6.67,Timid,Levitate,Lum Berry,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Tangela,1,3,435,0.95,137,57,138,111,55,69,567,208,16.33,Bold,Chlorophyll,,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Ivysaur,1,3,405,0.95,120,73,74,102,89,83,541,232,18.33,Serious,Overgrow,,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Oddish,1,4,320,0.95,109,55,65,100,75,58,462,232,19.33,Timid,Chlorophyll,,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Parasect,1,3,405,0.95,136,102,89,70,102,41,540,228,18.5,Quirky,Dry Skin,,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Gloom,1,3,395,0.95,135,67,101,95,82,51,531,232,17.83,Bold,Chlorophyll,,STANDARD
gen1,1,1000,17,Gym Trainer 1,Aroma Lady,Grass,3,2,4,Weepinbell,1,3,390,0.95,125,86,60,107,55,84,517,224,16.17,Timid,Chlorophyll,,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Ivysaur,1,3,405,0.95,120,65,72,111,89,82,539,232,17.17,Modest,Overgrow,Poison Barb,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Parasect,1,3,405,0.95,134,104,113,63,88,41,543,244,18.17,Impish,Dry Skin,,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Gloom,1,3,395,0.95,133,65,99,94,84,50,525,208,16.83,Bold,Chlorophyll,,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Weepinbell,1,3,390,0.95,127,113,60,94,57,80,531,240,19.17,Serious,Chlorophyll,,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Tangela,1,3,435,0.95,142,63,136,107,51,70,569,248,17.33,Hardy,Chlorophyll,,STANDARD
gen1,1,1000,18,Gym Leader 3,Brassius,Grass,3,2,4,Bellsprout,1,4,300,0.95,124,107,45,69,39,50,434,216,16.5,Adamant,Chlorophyll,,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Zubat,1,4,245,0.95,104,69,45,40,51,78,387,244,17.33,Bashful,Inner Focus,Lum Berry,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Nidoran-F,1,4,275,0.95,116,61,77,44,62,52,412,216,17.17,Impish,Poison Point,,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Diglett,1,4,265,0.95,76,76,37,44,57,115,405,228,17.83,Serious,Arena Trap,,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Pidgeotto,1,4,349,0.95,124,84,64,54,59,102,487,232,17.5,Jolly,Keen Eye,,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Tentacool,1,4,335,0.95,114,43,44,80,107,79,467,224,16.5,Modest,Clear Body,Mystic Water,STANDARD
gen1,1,1000,12,Rival,Blue,Mixed,3,3,5,Exeggcute,1,4,325,0.95,131,52,107,69,58,44,461,212,16.17,Relaxed,Chlorophyll,Oran Berry,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Gloom,1,3,395,0.95,130,65,97,91,82,48,513,192,13,Bold,Chlorophyll,Poison Barb,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Venomoth,1,3,450,0.95,128,73,68,106,80,107,562,192,12,Bashful,Shield Dust,Poison Barb,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Grimer,1,4,325,0.95,138,95,58,48,57,43,439,160,13.17,Bashful,Stench,Poison Barb,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Nidorina,1,3,365,0.95,136,70,75,68,62,72,483,164,13.83,Bashful,Poison Point,Poison Barb,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Arbok,1,3,448,0.95,118,112,75,71,85,99,560,200,11.67,Bashful,Shed Skin,,STANDARD
gen1,1,1000,20,Basic Trainer,Marsh Walker,Poison,3,3,5,Golbat,1,3,455,0.95,133,77,77,85,80,119,571,200,13.67,Timid,Inner Focus,,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Koffing,1,4,340,0.95,112,83,101,68,53,44,461,176,14.17,Bashful,Levitate,Lum Berry,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Nidorina,1,3,365,0.95,128,86,73,56,63,74,480,160,12.5,Adamant,Poison Point,Silk Scarf,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Ivysaur,1,3,405,0.95,120,70,70,98,76,84,518,184,12.5,Naive,Overgrow,Poison Barb,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Gloom,1,3,395,0.95,131,64,76,92,100,49,512,184,13,Calm,Chlorophyll,,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Ekans,1,4,288,0.95,106,68,52,49,73,63,411,172,14.17,Bashful,Shed Skin,,STANDARD
gen1,1,1000,21,Basic Trainer,Team Rocket Grunt,Poison,3,3,5,Golbat,1,3,455,0.95,134,95,76,71,82,106,564,168,12.5,Bashful,Inner Focus,Sharp Beak,STANDARD
gen1,1,1000,23,Gym Trainer 1,Bug Catcher,Bug,4,3,5,Caterpie,1,4,195,1,116,67,51,37,37,83,391,332,23.67,Hardy,Shield Dust,,STANDARD
gen1,1,1000,23,Gym Trainer 1,Bug Catcher,Bug,4,3,5,Parasect,1,3,405,1,152,112,128,69,97,47,605,348,23.67,Impish,Dry Skin,,STANDARD
gen1,1,1000,23,Gym Trainer 1,Bug Catcher,Bug,4,3,5,Metapod,1,4,205,1,141,33,72,66,41,46,399,304,23.83,Modest,Shed Skin,,STANDARD
