genKey,eid,eventName,trainer,city,stab_avg,hasStab_pct,coverage_avg,avgBP,maxBP,status_pct,priority_pct,natOpt_pct,natBad_pct,abilOpt_pct,abilHidden_pct,item_pct,intent_natOpt,intent_abilOpt,intent_moveOpt,intent_itemTier
gen1,68,Rival,Hop,0,1.25,0.93,2.42,84.7,104.3,0.64,0.17,0.09,0,0.06,0,0,0.12,0.12,0.12,0
gen1,1,Basic Trainer,Blackbelt,0,1.42,0.97,2.6,86.46,111.8,0.61,0.15,0,0,0,0,0,0.12,0.12,0.12,0
gen1,4,Gym Trainer 1,Hex Maniac,1,1.42,0.96,2.56,87.32,112.18,0.62,0.14,0.07,0.01,0.03,0,0,0.12,0.12,0.12,0
gen1,5,Gym Leader 1,Ryme,1,1.42,0.96,2.53,86.37,111.23,0.62,0.12,0.09,0.01,0.03,0,0,0.12,0.12,0.12,0
gen1,7,Basic Trainer,Bug Maniac,1,1.34,0.96,2.5,84.57,106.53,0.67,0.15,0,0,0,0,0,0.12,0.12,0.12,0
gen1,8,Basic Trainer,Mountain Guide,1,1.37,0.94,2.53,84.05,106.58,0.64,0.15,0,0,0,0,0,0.12,0.12,0.12,0
gen1,10,Gym Trainer 1,Channeler,2,1.43,0.96,2.46,90.03,110.02,0.73,0.12,0.28,0.01,0.03,0,0.72,0.37,0.12,0.12,1
gen1,11,Gym Leader 2,Morty,2,1.49,0.96,2.44,89.15,108.38,0.68,0.12,0.28,0.02,0.03,0,0.71,0.37,0.12,0.12,1
gen1,14,Basic Trainer,Blackbelt,2,1.42,0.96,2.39,88.45,107,0.72,0.11,0.19,0.01,0.23,0,0.39,0.37,0.12,0.12,1
gen1,15,Basic Trainer,Cyclist,2,1.43,0.97,2.39,89.06,107.83,0.72,0.12,0.21,0.01,0.24,0,0.37,0.37,0.12,0.12,1
gen1,17,Gym Trainer 1,Battle Girl,3,1.49,0.98,2.53,92.38,114.84,0.69,0.12,0.48,0.03,0.23,0,0.37,0.62,0.45,0.12,1
gen1,18,Gym Leader 3,Chuck,3,1.45,0.95,2.43,90.25,112.82,0.71,0.12,0.47,0.03,0.29,0,0.4,0.62,0.45,0.12,1
gen1,12,Rival,Hop,3,1.37,0.95,2.46,86.32,105.41,0.67,0.15,0.42,0.05,0.28,0,0.43,0.62,0.45,0.12,1
gen1,20,Basic Trainer,Worker,3,1.4,0.97,2.45,90.24,110.31,0.69,0.12,0.4,0.03,0.25,0,0.38,0.62,0.45,0.12,1
gen1,21,Basic Trainer,Aroma Lady,3,1.43,0.96,2.46,89.15,108.48,0.7,0.12,0.36,0.02,0.24,0,0.4,0.62,0.45,0.12,1
gen1,23,Gym Trainer 1,Triathlete Swimmer,4,1.49,0.97,2.41,89.16,109.31,0.72,0.11,0.62,0.03,0.26,0,0.37,0.87,0.79,0.45,1
gen1,24,Gym Leader 4,Crasher Wake,4,1.48,0.96,2.44,88.59,108.74,0.66,0.12,0.62,0.04,0.28,0,0.4,0.87,0.79,0.45,1
gen1,26,Basic Trainer,Pokémon Ranger F,4,1.42,0.95,2.47,90.22,112.23,0.68,0.12,0.54,0.03,0.24,0,0.36,0.87,0.79,0.45,1
gen1,27,Basic Trainer,Lady,4,1.35,0.94,2.35,87.78,106.18,0.71,0.11,0.54,0.03,0.28,0,0.38,0.87,0.79,0.45,1
gen1,29,Gym Trainer 1,Medium JPN,5,1.42,0.97,2.44,90.31,110.19,0.7,0.11,0.75,0.04,0.48,0.18,0.83,1,1,0.79,2
