genKey,eid,eventName,trainer,city,badges,partyCap,intendedMult,enemyMonAvg,enemyMonP10,enemyMonP90,playerMonAvg,ratioPerMon_mean,ratioPerMon_med,ratioPerMon_p10,ratioPerMon_p90,ratioPerMon_sd,teamRatio_mean,offRatio,bulkRatio,speRatio,enemyAvgGrade,playerAvgGrade,delta_vs_intended,flag
gen1,68,Rival,Hop,0,0,2,0.75,302.09,259,329,457.38,0.66,0.667,0.566,0.719,0.084,0.33,0.688,0.664,0.658,3.93,3.9,-0.09,SOFT
gen1,1,Basic Trainer,Blackbelt,0,0,2,0.8,315.16,295.17,325.33,457.38,0.689,0.694,0.645,0.711,0.023,0.686,0.705,0.703,0.642,4,3.9,-0.111,SOFT
gen1,4,Gym Trainer 1,Hex Maniac,1,0,2,0.85,363.26,342.17,373.5,463.56,0.784,0.791,0.738,0.806,0.026,0.781,0.837,0.782,0.758,4,3.85,-0.066,ok
gen1,5,Gym Leader 1,Ryme,1,0,2,0.85,362.45,340.17,373.83,463.56,0.782,0.79,0.734,0.806,0.028,0.778,0.823,0.78,0.775,4,3.85,-0.068,ok
gen1,7,Basic Trainer,Bug Maniac,1,1,3,0.85,340.66,321.67,354.17,463.56,0.735,0.745,0.694,0.764,0.029,0.731,0.755,0.743,0.712,4,3.85,-0.115,SOFT
gen1,8,Basic Trainer,Mountain Guide,1,1,3,0.85,340.57,318.5,354.33,463.56,0.735,0.744,0.687,0.764,0.03,0.725,0.764,0.74,0.716,4,3.85,-0.115,SOFT
gen1,10,Gym Trainer 1,Channeler,2,1,3,0.9,468.21,441.17,496.67,487.72,0.96,0.977,0.905,1.018,0.06,0.963,1.054,0.934,0.991,3.36,3.65,0.06,ok
gen1,11,Gym Leader 2,Morty,2,1,3,0.9,467.71,440.33,495.67,487.72,0.959,0.97,0.903,1.016,0.055,0.984,1.043,0.935,0.997,3.35,3.65,0.059,ok
gen1,14,Basic Trainer,Blackbelt,2,2,4,0.9,450.83,426,479.17,487.72,0.924,0.931,0.873,0.982,0.054,0.937,0.967,0.923,0.907,3.32,3.65,0.024,ok
gen1,15,Basic Trainer,Cyclist,2,2,4,0.9,453.45,428.33,482.33,487.72,0.93,0.933,0.878,0.989,0.046,0.938,0.977,0.926,0.929,3.32,3.65,0.03,ok
gen1,17,Gym Trainer 1,Battle Girl,3,2,4,0.95,512.21,484.33,550.33,563.99,0.908,0.908,0.859,0.976,0.054,0.905,0.855,0.913,0.944,3.37,3.2,-0.042,ok
gen1,18,Gym Leader 3,Chuck,3,2,4,0.95,513.08,488.33,543.67,563.99,0.91,0.916,0.866,0.964,0.047,0.917,0.845,0.918,0.955,3.37,3.2,-0.04,ok
gen1,12,Rival,Hop,3,3,5,0.95,495.19,460.17,528.17,563.99,0.878,0.879,0.816,0.936,0.057,0.877,0.793,0.898,0.913,3.5,3.2,-0.072,ok
gen1,20,Basic Trainer,Worker,3,3,5,0.95,496.72,469.67,523.17,563.99,0.881,0.883,0.833,0.928,0.045,0.887,0.825,0.885,0.924,3.34,3.2,-0.069,ok
gen1,21,Basic Trainer,Aroma Lady,3,3,5,0.95,496.14,472.33,523.83,563.99,0.88,0.882,0.837,0.929,0.043,0.885,0.814,0.888,0.901,3.35,3.2,-0.07,ok
gen1,23,Gym Trainer 1,Triathlete Swimmer,4,3,5,1,575.63,543.33,612.33,594,0.969,0.968,0.915,1.031,0.046,0.97,0.916,0.971,1.038,3.31,2.95,-0.031,ok
gen1,24,Gym Leader 4,Crasher Wake,4,3,5,1,582.81,549,617.33,594,0.981,0.982,0.924,1.039,0.041,0.989,0.916,0.983,1.071,3.24,2.95,-0.019,ok
gen1,26,Basic Trainer,Pokémon Ranger F,4,4,6,1,547.47,516.83,580.83,594,0.922,0.921,0.87,0.978,0.041,0.922,0.846,0.939,0.951,3.33,2.95,-0.078,ok
gen1,27,Basic Trainer,Lady,4,4,6,1,552.9,516.83,589.17,594,0.931,0.936,0.87,0.992,0.046,0.931,0.856,0.947,0.99,3.32,2.95,-0.069,ok
gen1,29,Gym Trainer 1,Medium JPN,5,4,6,1.03,617.3,584.5,648.83,620.44,0.995,0.996,0.942,1.046,0.039,0.995,0.942,0.997,1.118,3.33,2.7,-0.035,ok
gen1,30,Gym Trainer 2,Medium JPN,5,4,6,1.03,652.59,611,703.83,620.44,1.052,1.047,0.985,1.134,0.069,1.052,1.001,1.039,1.202,2.96,2.7,0.022,ok
gen1,31,Gym Leader 5,Sabrina,5,4,6,1.03,669.98,623.33,707.83,620.44,1.08,1.088,1.005,1.141,0.053,1.08,1.023,1.068,1.231,2.8,2.7,0.05,ok
gen1,33,Basic Trainer,Lab Rat,5,5,6,1.03,594.41,563,630.83,620.44,0.958,0.964,0.907,1.017,0.043,0.958,0.896,0.966,1.065,3.3,2.7,-0.072,ok
gen1,34,Elite Trainer,Penny,5,5,6,1.03,674.79,640.33,702.33,620.44,1.088,1.088,1.032,1.132,0.038,1.088,1.006,1.08,1.244,2.81,2.7,0.058,ok
gen1,36,Gym Trainer 1,Office Worker,6,5,6,1.05,775.33,750.5,793.33,702.77,1.103,1.111,1.068,1.129,0.025,1.103,1,1.106,1.28,2.19,2.2,0.053,ok
gen1,37,Gym Trainer 2,Officer,6,5,6,1.05,774.25,745.67,794.67,702.77,1.102,1.108,1.061,1.131,0.025,1.102,0.994,1.11,1.27,2.2,2.2,0.052,ok
gen1,38,Gym Leader 6,Larry,6,5,6,1.05,774.06,744,796.17,702.77,1.101,1.106,1.059,1.133,0.028,1.101,0.994,1.118,1.23,2.17,2.2,0.051,ok
gen1,39,Rival,Hop,6,6,6,1.05,783.49,748,799.5,702.77,1.115,1.121,1.064,1.138,0.026,1.115,1.002,1.133,1.238,1.97,2.2,0.065,ok
gen1,41,Basic Trainer,Channeler,6,6,6,1.05,746.74,721.83,766.5,702.77,1.063,1.069,1.027,1.091,0.026,1.063,0.945,1.072,1.227,2.17,2.2,0.013,ok
gen1,42,Elite Trainer,Veteran Wallace,6,6,6,1.05,780.14,759.33,797,702.77,1.11,1.114,1.08,1.134,0.024,1.11,1.01,1.118,1.253,2.12,2.2,0.06,ok
gen1,44,Gym Trainer 1,Depot Agent,7,6,6,1.08,795.33,768,814,717.57,1.108,1.115,1.07,1.134,0.024,1.108,0.996,1.125,1.298,2.2,2.05,0.028,ok
gen1,45,Gym Trainer 2,Depot Agent,7,6,6,1.08,792.72,766.33,816,717.57,1.105,1.11,1.068,1.137,0.026,1.105,0.985,1.129,1.274,2.22,2.05,0.025,ok
gen1,46,Gym Leader 7,Byron,7,6,6,1.08,794.79,759,819.33,717.57,1.108,1.114,1.058,1.142,0.032,1.108,0.993,1.136,1.264,2.17,2.05,0.028,ok
gen1,48,Elite Trainer,Hollow Cyrus,7,7,6,1.08,803.81,773,826.33,717.57,1.12,1.124,1.077,1.152,0.029,1.12,1.017,1.127,1.292,2.11,2.05,0.04,ok
gen1,49,Elite Trainer,Veteran Koga,7,7,6,1.08,794.93,769.33,814.67,717.57,1.108,1.111,1.072,1.135,0.024,1.108,0.973,1.145,1.24,2.12,2.05,0.028,ok
gen1,51,Gym Trainer 1,Hiker,8,7,6,1.1,811.42,786.67,834.67,717.57,1.131,1.133,1.096,1.163,0.025,1.131,1.025,1.135,1.345,2.19,2.05,0.031,ok
gen1,52,Gym Trainer 2,Hiker,8,7,6,1.1,809.32,780.5,835,717.57,1.128,1.135,1.088,1.164,0.032,1.128,1.017,1.137,1.319,2.2,2.05,0.028,ok
