name,tag,gen,format,category,item,ability,nature,move1,move2,move3,move4,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,hp_iv,atk_iv,def_iv,spa_iv,spd_iv,spe_iv,teratypes
Milotic,regular,4,uu,singles,Leftovers,,Bold,Surf,Hidden Power Grass,Recover,Ice Beam/Haze/Toxic,248,0,252,0,0,8,31,31,31,31,31,31,
Milotic,regular,4,uu,singles,Leftovers,,Calm,Rest,Sleep Talk,Surf,Ice Beam/Hidden Power Grass,252,0,200,0,56,0,31,31,31,31,31,31,
Milotic,regular,4,uu,singles,Leftovers,,Calm,Surf,Toxic,Ice Beam/Hidden Power Grass/Haze,Recover,252,0,192,0,56,8,31,31,31,31,31,31,
Milotic,regular,4,uu,singles,Choice Specs|Choice Scarf|Life Orb,,Timid,Hydro Pump/Surf,Ice Beam,Hidden Power Grass,Hypnosis/Surf/Recover,4,0,0,252,0,252,31,31,31,31,31,31,
Milotic,regular,4,uu,singles,Life Orb,,Modest,Hydro Pump/Surf,Ice Beam,Hidden Power Grass/Hidden Power Electric,Recover,152,0,80,220,0,56,31,31,31,31,31,31,
Milotic,regular,4,ou,singles,Leftovers,,Bold|Calm,Surf,Ice Beam,Haze,Recover,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Heat,regular,4,ou,singles,Choice Scarf,,Timid,Thunderbolt,Overheat/Hydro Pump/Shadow Ball/Leaf Storm,Shadow Ball/Hidden Power Ice/Will-O-Wisp,Trick/Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Rotom-Heat,regular,4,ou,singles,Leftovers,,Bold,Rest,Sleep Talk,Thunderbolt/Shadow Ball,Will-O-Wisp/Shadow Ball,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Heat,regular,4,ou,singles,Leftovers,,Timid|Modest,Pain Split,Substitute/Shadow Ball/Hydro Pump/Blizzard,Will-O-Wisp/Shadow Ball,Thunderbolt,248,0,0,8,0,252,31,31,31,31,31,31,
Rotom-Heat,regular,4,doublesou,doubles,Choice Specs,,Timid,Thunderbolt,Shadow Ball,Leaf Storm/Overheat/Hydro Pump,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Heat,regular,4,doublesou,doubles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball,Leaf Storm/Overheat/Hydro Pump,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Heat,regular,4,doublesou,doubles,Sitrus Berry|Leftovers,,Calm,Thunderbolt,Shadow Ball/Overheat,Thunder Wave/Will-O-Wisp,Protect/Pain Split/Will-O-Wisp,252,0,0,0,204,52,31,31,31,31,31,31,
Rotom-Wash,regular,4,ou,singles,Choice Scarf,,Timid,Thunderbolt,Hydro Pump/Overheat/Shadow Ball/Leaf Storm,Shadow Ball/Hidden Power Ice/Will-O-Wisp,Trick/Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Rotom-Wash,regular,4,ou,singles,Leftovers,,Bold,Rest,Sleep Talk,Thunderbolt/Shadow Ball,Will-O-Wisp/Shadow Ball,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Wash,regular,4,ou,singles,Leftovers,,Timid|Modest,Pain Split,Substitute/Shadow Ball/Hydro Pump/Blizzard,Will-O-Wisp/Shadow Ball,Thunderbolt,248,0,0,8,0,252,31,31,31,31,31,31,
Rotom-Wash,regular,4,ou,singles,Colbur Berry|Damp Rock,,Modest,Rain Dance,Hydro Pump,Thunderbolt,Will-O-Wisp/Shadow Ball,248,0,0,112,0,144,31,31,31,31,31,31,
Rotom-Wash,regular,4,doublesou,doubles,Choice Specs,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Wash,regular,4,doublesou,doubles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Wash,regular,4,doublesou,doubles,Sitrus Berry|Leftovers,,Calm,Thunderbolt,Shadow Ball/Overheat,Thunder Wave/Will-O-Wisp,Protect/Pain Split/Will-O-Wisp,252,0,0,0,204,52,31,31,31,31,31,31,
Rotom-Frost,regular,4,ou,singles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball/Overheat/Hydro Pump/Leaf Storm,Hidden Power Ice/Will-O-Wisp,Trick/Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Rotom-Frost,regular,4,ou,singles,Leftovers,,Bold,Rest,Sleep Talk,Thunderbolt/Shadow Ball,Will-O-Wisp/Shadow Ball,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Frost,regular,4,ou,singles,Leftovers,,Timid|Modest,Pain Split,Substitute/Shadow Ball/Hydro Pump/Blizzard,Will-O-Wisp/Shadow Ball,Thunderbolt,248,0,0,8,0,252,31,31,31,31,31,31,
Rotom-Frost,regular,4,doublesou,doubles,Choice Specs,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Frost,regular,4,doublesou,doubles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Frost,regular,4,doublesou,doubles,Sitrus Berry|Leftovers,,Calm,Thunderbolt,Shadow Ball/Overheat,Thunder Wave/Will-O-Wisp,Protect/Pain Split/Will-O-Wisp,252,0,0,0,204,52,31,31,31,31,31,31,
Rotom-Fan,regular,4,ou,singles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball/Overheat/Hydro Pump/Leaf Storm,Hidden Power Ice/Will-O-Wisp,Trick/Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Rotom-Fan,regular,4,ou,singles,Leftovers,,Bold,Rest,Sleep Talk,Thunderbolt/Shadow Ball,Will-O-Wisp/Shadow Ball,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Fan,regular,4,ou,singles,Leftovers,,Timid|Modest,Pain Split,Substitute/Shadow Ball/Hydro Pump/Blizzard,Will-O-Wisp/Shadow Ball,Thunderbolt,248,0,0,8,0,252,31,31,31,31,31,31,
Rotom-Fan,regular,4,doublesou,doubles,Choice Specs,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Fan,regular,4,doublesou,doubles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Fan,regular,4,doublesou,doubles,Sitrus Berry|Leftovers,,Calm,Thunderbolt,Shadow Ball/Overheat,Will-O-Wisp,Protect/Pain Split,252,0,0,0,204,52,31,31,31,31,31,31,
Rotom-Mow,regular,4,ou,singles,Choice Scarf,,Timid,Thunderbolt,Leaf Storm/Overheat/Hydro Pump/Shadow Ball,Shadow Ball/Hidden Power Ice/Will-O-Wisp,Trick/Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Rotom-Mow,regular,4,ou,singles,Leftovers,,Bold,Rest,Sleep Talk,Thunderbolt/Shadow Ball,Will-O-Wisp/Shadow Ball,248,0,252,0,8,0,31,31,31,31,31,31,
Rotom-Mow,regular,4,ou,singles,Leftovers,,Timid|Modest,Pain Split,Substitute/Shadow Ball/Hydro Pump/Blizzard,Will-O-Wisp/Shadow Ball,Thunderbolt,248,0,0,8,0,252,31,31,31,31,31,31,
Rotom-Mow,regular,4,doublesou,doubles,Choice Specs,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Mow,regular,4,doublesou,doubles,Choice Scarf,,Timid,Thunderbolt,Shadow Ball,Overheat/Hydro Pump/Leaf Storm,Trick,0,0,0,252,4,252,31,31,31,31,31,31,
Rotom-Mow,regular,4,doublesou,doubles,Sitrus Berry|Leftovers,,Calm,Thunderbolt,Shadow Ball/Overheat,Thunder Wave/Will-O-Wisp,Protect/Pain Split/Will-O-Wisp,252,0,0,0,204,52,31,31,31,31,31,31,
Bulbasaur,regular,4,lc,singles,Choice Scarf,,Modest|Timid,Sleep Powder,Sludge Bomb,Leaf Storm,Hidden Power Ground/Hidden Power Fire,0,0,0,240,0,240,31,31,31,31,31,31,
Ivysaur,regular,4,zu,singles,Leftovers,,Calm,Energy Ball/Leaf Storm,Sludge Bomb,Sleep Powder/Hidden Power Fire,Synthesis,252,0,4,0,252,0,31,0,31,31,31,31,
Venusaur,regular,4,uu,singles,Black Sludge,,Adamant,Swords Dance,Power Whip,Earthquake/Return,Synthesis/Sleep Powder,252,120,0,0,0,136,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Life Orb,,Timid,Leaf Storm,Sludge Bomb,Sleep Powder,Synthesis,4,0,0,252,0,252,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Leftovers|Life Orb,,Jolly,Swords Dance,Power Whip,Earthquake/Return,Sleep Powder,4,252,0,0,0,252,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Leftovers,,Bold,Grass Knot/Leaf Storm,Sludge Bomb,Sleep Powder/Roar,Synthesis/Leech Seed,252,0,164,0,0,92,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Leftovers,,Sassy,Power Whip,Sludge Bomb,Sleep Powder/Roar,Leech Seed/Synthesis,252,0,0,0,240,16,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Life Orb,,Hasty,Sludge Bomb,Power Whip,Sleep Powder,Synthesis/Earthquake,0,136,0,120,0,252,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Choice Scarf,,Timid,Leaf Storm,Sludge Bomb,Sleep Powder,Hidden Power Ice,4,0,0,252,0,252,31,31,31,31,31,31,
Venusaur,regular,4,uu,singles,Leftovers,,Calm,Substitute,Leech Seed,Sludge Bomb/Energy Ball,Sleep Powder/Energy Ball,252,0,128,0,128,0,31,31,31,31,31,31,
Venusaur,regular,4,ou,singles,Leftovers|Black Sludge,,Calm,Leech Seed,Sleep Powder,Leaf Storm/Grass Knot,Hidden Power Fire/Sludge Bomb,252,0,0,24,176,56,31,31,31,31,31,31,
Venusaur,regular,4,ou,singles,Life Orb,,Jolly,Swords Dance,Sleep Powder,Power Whip,Earthquake,4,252,0,0,0,252,31,31,31,31,31,31,
Charmander,regular,4,lc,singles,Oran Berry|Life Orb,,Adamant,Dragon Dance,Flare Blitz,Brick Break,Thunder Punch,44,180,12,0,36,236,31,31,31,31,31,31,
Charizard,regular,4,uu,singles,Life Orb,,Timid,Fire Blast/Flamethrower,Air Slash,Hidden Power Grass,Roost,0,0,4,252,0,252,31,31,31,31,31,31,
Charizard,weather,4,uu,singles,Life Orb|Heat Rock,,Timid,Sunny Day,Fire Blast/Flamethrower,Solar Beam,Roost/Air Slash,0,0,4,252,0,252,31,31,31,31,31,31,
Charizard,regular,4,uu,singles,Life Orb,,Jolly|Adamant,Dragon Dance,Flare Blitz,Earthquake,Thunder Punch,0,252,4,0,0,252,31,31,31,31,31,31,
Charizard,regular,4,uu,singles,Life Orb,,Jolly,Swords Dance,Flare Blitz/Fire Punch,Earthquake,Thunder Punch,0,252,4,0,0,252,31,31,31,31,31,31,
Charizard,regular,4,uu,singles,Salac Berry,,Jolly,Belly Drum,Substitute,Fire Punch,Thunder Punch/Earthquake,0,252,4,0,0,252,30,31,31,31,31,31,
Charizard,regular,4,nu,singles,Life Orb,,Timid,Fire Blast,Air Slash,Hidden Power Grass/Focus Blast,Roost,0,0,4,252,0,252,31,31,31,31,31,31,
Charizard,regular,4,nu,singles,Leftovers,,Timid,Substitute,Toxic,Flamethrower,Roost,248,0,0,8,0,252,31,31,31,31,31,31,
Charizard,regular,4,nu,singles,Life Orb,,Jolly,Swords Dance,Flare Blitz,Thunder Punch,Earthquake,0,252,4,0,0,252,31,31,31,31,31,31,
Charizard,regular,4,nu,singles,Choice Specs,,Timid,Fire Blast,Air Slash,Hidden Power Grass,Focus Blast,0,0,4,252,0,252,31,31,31,31,31,31,
Charizard,regular,4,nu,singles,Life Orb,,Jolly,Dragon Dance,Flare Blitz,Earthquake,Thunder Punch,0,252,4,0,0,252,31,31,31,31,31,31,
Squirtle,regular,4,lc,singles,Life Orb|Oran Berry,,Adamant,Fake Out,Aqua Jet,Waterfall,Return/Zen Headbutt/Ice Punch,0,212,0,0,4,252,0,31,31,31,31,31,
Blastoise,regular,4,uu,singles,Leftovers,,Bold,Surf,Ice Beam/Foresight,Rapid Spin,Roar/Rest,252,0,252,4,0,0,31,31,31,31,31,31,
Blastoise,regular,4,uu,singles,Leftovers,,Bold,Surf,Rest,Sleep Talk,Roar,252,0,252,4,0,0,31,31,31,31,31,31,
Blastoise,regular,4,uu,singles,Choice Specs|Choice Scarf,,Timid|Modest,Water Spout/Hydro Pump,Ice Beam,Hidden Power Grass,Surf/Rapid Spin,0,0,4,252,0,252,31,31,31,31,31,31,
Butterfree,regular,4,zu,singles,Focus Sash,,Jolly,Sleep Powder,Stun Spore,U-turn,Protect,248,8,0,0,0,252,31,31,31,31,31,31,
Butterfree,regular,4,uu,singles,Choice Scarf,,Timid,Sleep Powder,Stun Spore,U-turn,Bug Buzz,0,0,4,252,0,252,31,31,31,31,31,31,
Butterfree,regular,4,uu,singles,Focus Sash,,Jolly,Sleep Powder,Stun Spore,U-turn,Protect,248,0,8,0,0,252,31,31,31,31,31,31,
Beedrill,regular,4,zu,singles,Sitrus Berry|Black Sludge,,Careful,Toxic Spikes,Poison Jab,U-turn,Roost,248,8,0,0,252,0,31,31,31,31,31,31,
Beedrill,regular,4,uu,singles,Life Orb,,Adamant,Swords Dance,X-Scissor,Brick Break,Baton Pass/Poison Jab/Substitute,0,252,0,0,4,252,31,31,31,31,31,31,
Beedrill,regular,4,uu,singles,Choice Scarf,,Adamant,U-turn,X-Scissor,Brick Break,Poison Jab/Pursuit,0,252,0,0,4,252,31,31,31,31,31,31,
Beedrill,regular,4,uu,singles,Liechi Berry|Salac Berry,,Jolly,Baton Pass,Agility/Swords Dance,Substitute,X-Scissor,244,0,0,0,12,252,31,31,31,31,31,31,
Beedrill,regular,4,uu,singles,Focus Sash,,Naive|Hasty,Toxic Spikes,Endeavor,Protect,X-Scissor/U-turn,0,252,0,0,0,252,0,31,0,31,0,31,
Pidgeot,regular,4,uu,singles,Choice Band,Tangled Feet,Jolly|Adamant,Brave Bird,Return,U-turn,Pursuit/Quick Attack,0,252,4,0,0,252,31,31,31,31,31,31,
Pikachu,regular,4,uu,singles,Light Ball,,Timid|Naive,Substitute,Thunderbolt,Hidden Power Ice/Grass Knot,Encore/Focus Punch,0,0,4,252,0,252,31,31,31,31,31,31,
Pikachu,regular,4,uu,singles,Light Ball,,Timid,Nasty Plot,Encore/Substitute,Thunderbolt,Hidden Power Ice,0,0,4,252,0,252,31,31,31,31,31,31,
Raichu,regular,4,uu,singles,Life Orb,,Timid,Nasty Plot,Thunderbolt,Hidden Power Ice,Encore/Focus Blast,0,0,0,252,4,252,31,31,31,31,31,31,
Raichu,regular,4,uu,singles,Leftovers,,Jolly,Substitute,Focus Punch,Encore/Grass Knot,Volt Tackle,0,252,0,0,4,252,31,31,31,31,31,31,
Nidoqueen,regular,4,uu,singles,Leftovers,,Bold,Earth Power,Stealth Rock,Ice Beam,Toxic Spikes/Roar,252,0,252,0,4,0,31,31,31,31,31,31,
Nidoqueen,regular,4,ou,singles,Black Sludge,,Relaxed,Toxic Spikes,Protect/Stealth Rock,Earthquake/Earth Power,Ice Beam/Flamethrower/Thunderbolt,252,0,252,4,0,0,31,31,31,31,31,31,
Nidoqueen,regular,4,ou,singles,Black Sludge,,Sassy,Toxic Spikes,Protect/Stealth Rock,Earthquake,Ice Beam,252,0,0,4,252,0,31,31,31,31,31,31,
Nidoqueen,regular,4,nu,singles,Black Sludge,,Bold|Calm,Earth Power,Ice Beam,Stealth Rock/Toxic Spikes,Taunt/Toxic Spikes/Roar,252,0,252,4,0,0,31,31,31,31,31,31,
Nidoking,regular,4,uu,singles,Life Orb,,Rash,Earth Power/Earthquake,Ice Beam,Thunderbolt,Superpower/Shadow Ball/Taunt,0,80,0,252,0,176,31,31,31,31,31,31,
Nidoking,regular,4,uu,singles,Focus Sash,,Timid,Stealth Rock,Taunt,Earth Power,Ice Beam/Toxic Spikes,4,0,0,252,0,252,31,31,31,31,31,31,
Nidoking,regular,4,uu,singles,Life Orb,,Timid,Earth Power,Ice Beam,Thunderbolt,Shadow Ball/Thunder,0,0,4,252,0,252,31,31,31,31,31,31,
Nidoking,regular,4,uu,singles,Life Orb,,Jolly,Earthquake,Stone Edge,Megahorn,Sucker Punch,0,252,4,0,0,252,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Leftovers,Magic Guard,Calm,Ice Beam/Encore,Soft-Boiled/Wish,Seismic Toss,Thunder Wave/Heal Bell,252,0,4,0,252,0,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Leftovers,Magic Guard,Calm,Wish,Protect,Seismic Toss,Toxic/Heal Bell,252,0,0,0,252,4,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Life Orb,Magic Guard,Modest,Calm Mind,Thunderbolt,Ice Beam,Soft-Boiled,160,0,0,252,0,96,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Life Orb|Toxic Orb,Magic Guard,Quiet,Double-Edge,Fire Blast,Grass Knot,Soft-Boiled,4,252,0,252,0,0,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Leftovers,Magic Guard,Bold,Calm Mind,Thunderbolt,Ice Beam,Soft-Boiled,252,0,252,0,4,0,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Light Clay,Magic Guard,Calm,Reflect,Light Screen,Wish/Soft-Boiled/Encore,Seismic Toss,252,0,0,0,252,4,31,31,31,31,31,31,
Clefable,regular,4,uu,singles,Focus Sash,Magic Guard,Hardy,Endeavor,Protect,Encore,Thunder Wave/Toxic,0,0,0,0,0,252,0,31,31,31,31,31,
Clefable,regular,4,ubers,singles,Leftovers,Magic Guard,Calm,Seismic Toss,Encore/Stealth Rock,Thunder Wave/Heal Bell,Soft-Boiled,252,0,4,0,252,0,31,31,31,31,31,31,
Clefable,regular,4,ou,singles,Leftovers,Magic Guard,Careful|Calm,Thunder Wave/Stealth Rock/Protect,Knock Off,Seismic Toss,Soft-Boiled,252,0,4,0,252,0,31,31,31,31,31,31,
Clefable,regular,4,ou,singles,Leftovers,Magic Guard,Bold,Calm Mind,Thunderbolt/Flamethrower,Ice Beam,Soft-Boiled,252,0,252,4,0,0,31,31,31,31,31,31,
Clefable,regular,4,ou,singles,Leftovers,Magic Guard,Calm,Wish,Protect,Seismic Toss,Knock Off/Encore,252,0,4,0,252,0,31,31,31,31,31,31,
Wigglytuff,regular,4,uu,singles,Leftovers,,Calm,Wish,Protect,Seismic Toss,Heal Bell/Toxic/Thunder Wave,44,0,212,0,252,0,31,31,31,31,31,31,
Wigglytuff,regular,4,uu,singles,Light Clay,,Calm,Reflect,Light Screen,Stealth Rock,Heal Bell/Wish/Seismic Toss,4,0,252,0,252,0,31,31,31,31,31,31,
Vileplume,regular,4,uu,singles,Leftovers,,Calm,Aromatherapy,Energy Ball,Sludge Bomb,Moonlight/Leech Seed/Sleep Powder,252,0,4,0,252,0,31,31,31,31,31,31,
Vileplume,regular,4,nu,singles,Black Sludge,,Bold,Sleep Powder,Energy Ball,Sludge Bomb,Moonlight,252,0,252,0,4,0,31,31,31,31,31,31,
Vileplume,weather,4,nu,singles,Life Orb,,Modest,Sunny Day,Solar Beam,Sludge Bomb,Sleep Powder,76,0,0,252,0,180,31,31,31,31,31,31,
Poliwrath,regular,4,uu,singles,Leftovers,,Adamant,Substitute,Focus Punch,Waterfall/Ice Punch,Encore/Bulk Up/Ice Punch,252,252,4,0,0,0,31,31,31,31,31,31,
