WILD ENCOUNTER (the wild faced AFTER leaving each city; none after C8 - legendary/league). Values shown = ACTUAL code.;;;;;;;;;;
Attribute;C0;C1;C2;C3;C4;C5;C6;C7;vs Spec;Code anchor
Grade 1 %;0;0;0;0;0;0;0;0;MATCH;STORY_WILD_GRADE_BY_CITY
Grade 2 %;0;0;0;0;0;10;15;20;MATCH;same
Grade 3 %;0;0;0;10;20;30;40;50;MATCH;same
Grade 4 %;100;100;100;90;80;60;45;30;MATCH;C0-C2 are pure G4 (the 100% pool maps to grade 4)
Evolution stage;Basic;Basic;Basic;Basic;Basic;Stage1+Basic;Stage1+Basic;ALL;MATCH;_wildEvoStageCapForCity
EV total;0-50;50-100;100-150;150-200;200-250;300-350;350-400;508;MISMATCH at C7;sheet says 140-160 at C7 (a DROP) - likely a sheet typo; code gives max. CONFIRM intended value
IV (per stat);0-10;0-20;0-31;5-31;10-31;15-31;20-31;25-31;MATCH;STORY_IV_CITY_WILDPROF
Nature;Neutral;Random;Random;Random;Random;Random;Random;Random;MATCH;curated-positive random C1+, not uniform
Ability;Basic;Basic;Basic;Basic;Basic;Basic;Basic+Hidden;Basic+Hidden;MATCH;hidden 35% at C6+
Item;None;None;None;None;None;None;None;None;MISMATCH;code hard-codes None all cities; sheet wants Level1 C4-C6, Level2 C7
Moves;L1;L1;L1;L1;L1;L1;L1;L1;MISMATCH;code forces Level1 all cities; sheet wants Level2 C5-C7
Mechanic roll %;0;0;0;0;0;0;0;~20% if unlocked;ARCHITECTURE DIFF;no per-city % constant - gated by player unlockedGimmicks + flat 20%/mechanic. Sheet wanted 10% at C7
