PROFESSOR GIFT (offered on ENTERING each city; none after C6; C8 = Mystery Figure swap after Gym 8). Offers 3 (Mystery offers 1). Values = ACTUAL code.;;;;;;;;;
Attribute;C0;C1;C2;C3;C4;C5;C6;C8 (Mystery);vs Spec;Code anchor
Grade 1 %;0;0;0;0;0;0;0;100 (legendary);MATCH;PROF_ROLLS / _profLegendaryMysteryMode
Grade 2 %;0;0;0;0;20;50;70;0;MATCH;PROF_ROLLS
Grade 3 %;0;20;40;60;60;50;30;0;MATCH;PROF_ROLLS
Grade 4 %;100;80;60;40;20;0;0;0;MATCH;PROF_ROLLS
Evolution stage;Basic;Basic;Basic;Stage1+Basic;Stage1+Basic;Stage1+Basic;ALL;ALL;MATCH;_professorEvoStageCapForCity
EV total;0-50;50-100;100-150;150-200;200-250;300-350;350-400;508 (MAX);MATCH;shared STORY_EV_CITY_TOTAL
IV (per stat);0-10;0-20;0-31;5-31;10-31;15-31;20-31;31 (MAX);MATCH;STORY_IV_CITY_WILDPROF
Nature;Neutral;Neutral;Good;Good;Good;Good;Good;Full Smogon;MISMATCH at C1;sheet wants Random at C1 but code keeps C1 neutral (opt-chance 0). C2+ ramps to Smogon-good
Ability;Basic;Basic;Basic;Basic;Basic+Hidden;Basic+Hidden;Basic+Hidden;Full;MATCH;hidden opens C4+
Item;None;Level1;Level1;Level1;Level2;Level2;Level2;Full;FLAG;code item is build-tier-driven (+badge-dependent); tier breakpoints C0-2/C3-5/C6 don't cleanly map to sheet None/L1/L2 rows
Moves;L1;L1;L1;L1;L2;L2;L2;Full;MATCH;move-opt ramp: partial C4-5, full C6
Mechanic roll %;0;0;0;0;0;0;30;Full;ARCHITECTURE DIFF;no per-city % constant - unlock-list gated. Sheet wanted 30% at C6
C8 Mystery Figure;;;;;;;;Full battle-ready: 508 EV, 31 IV, full Smogon build, TOURNAMENT tier;MATCH;_profLegendaryMysteryMode
