MOVE TUTOR & BATTLE DOJO - tiers, unlocks, gold prices. Synced to code 2026-07 (move-tutor overhaul PR). Anchors verified via /anchor.;;;
Facility tier;Unlocks;Gold price;Cities;Status
Move Tutor L1 (Inner Strength);Natural moves only (level-up + egg + transfer), under the per-city BP cap (C0=40, C1/C2=60);1000 per Natural move;C0-C2;MATCH
Move Tutor L2 (Unleashed);Natural moves (BP cap C3/C4=80, C5=none) + Learnt STATUS moves (TM/HM/Tutor/TR/event moves with no BP);Natural 1000, Learnt 2500 (per move tag);C3-C5;MATCH
Move Tutor L3 (Guru);+ full Learnt (TM/HM/TR/Tutor/event/Dream/cave) + Awakened (off-legal Smogon picks not in any gen's learnset);Natural 1000, Learnt 2500, Awakened 5000 (per move tag);C6+;MATCH
Battle Dojo L1 (White Belt) - Items;Tier-1 items (berries, type-boosters);500;C1-C3;MATCH
Battle Dojo L1 (White Belt) - Ability;Basic ability (slots 0/1);2000;C1-C3;MATCH
Battle Dojo L2 (Black Belt) - Items;+ Tier-2 staples (Leftovers, Focus Sash, Heavy-Duty Boots, Assault Vest, ...);1000;C4-C5;MATCH
Battle Dojo L2 (Black Belt) - Ability;+ Hidden ability (slot H);3000;C4-C5;MATCH
Battle Dojo L3 (Master) - Items;All items including tier-3 meta (Choice Band/Specs/Scarf, Life Orb, ...);2500;C6-C7;MATCH
Battle Dojo L4 (Grandmaster) - Ability;+ Awakened ability (curated OP picks + off-legal Smogon abilities);5000;C8+;MATCH
Notes;Move price follows the move's TAG (pay for what the move IS), never the tutor stage; Heart Scale / Ability Capsule / Emblem of Honor waive cost only - never bypass a stage gate; forgetting a move is free.;;;
Recommendation count target;Moves: 18 (L1) -> 30 (L2/L3); starred pool egg/level-up-only at stage 0;;;
ANCHORS;_moveCostForStage, _itemCostForTier, TUTOR_COST_ABILITY/HIDDEN/AWAKEN, NPC_STAGE_CITY (tutor=[0,3,6], dojo=[1,4,6,8]), STORY_MOVE_BP_CAP_BY_CITY, _txStageCountRule, _tutorFetchLearnsetMoveNames, _moveTagForSpecies, _tutorGetStagedMovePoolAsync;;
