pos,cityIndex,name,actions
0,0,City0,Professor|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Leave City
3,1,City1,Pokemart|Pokemon Fan Club|Gym Battle|Leave City
6,1,City1,Pokemart|Pokemon Fan Club|Leave City
9,2,City2,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Gym Battle|Leave City
12,2,City2,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Leave City
15,3,City3,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Gym Battle
18,3,City3,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Leave City
22,4,City4,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Safari Zone|Move Tutor|Battle Dojo|EV Trainer|Gym Battle|Leave City
25,4,City4,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Safari Zone|Move Tutor|Battle Dojo|EV Trainer|Leave City
28,5,City5,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Gym Battle|Leave City
32,5,City5,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Leave City
35,6,City6,Link Station|Evolution Tutor|Stone Shop|Department Store|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
39,6,City6,Link Station|Evolution Tutor|Stone Shop|Department Store|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
43,7,City7,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
47,7,City7,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
50,8,City8,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
54,8,City8,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
58,9,City9,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Enter Pokemon League
