action,pattern,debutCity,citiesPresent
Battle Dojo,permanent-after-debut,4,4|5|6|7|8|9
Department Store,cyclic,6,6|8|9
EV Trainer,permanent-after-debut,4,4|5|6|7|8|9
Enter Pokemon League,permanent-after-debut,9,9
Evolution Tutor,permanent-after-debut,2,2|3|4|5|6|7|8|9
Gym Battle,cyclic,1,1|2|3|4|5|6|7|8
Leave City,cyclic,0,0|1|2|3|4|5|6|7|8
Link Station,permanent-after-debut,2,2|3|4|5|6|7|8|9
Move Tutor,cyclic,0,0|2|3|4|5|6|7|8|9
Nature Rater,cyclic,0,0|3|5|6|7|8|9
Pokemart,cyclic,0,0|1|2|3|4|5|7|8|9
Pokemon Fan Club,always,0,0|1|2|3|4|5|6|7|8|9
Poké Casino,cyclic,5,5|9
Power Up,permanent-after-debut,6,6|7|8|9
Professor,cyclic,0,0|1|2|3|4|5
Safari Zone,cyclic,4,4
Stone Shop,permanent-after-debut,2,2|3|4|5|6|7|8|9
