shop,id,name,price,kindOrEffect,battleBag,desc
pokemart,pokeBall,Poké Ball,500,ball,no,A standard ball for catching wild Pokémon.
pokemart,potion,Potion,500,regen16,yes,"Restores 12% of max HP instantly, then 12% at the end of each of the next 2 turns. Only one healing mist at a time — the strongest active one wins."
pokemart,superPotion,Super Potion,1000,regen8,yes,"Restores 24% of max HP instantly, then 24% at the end of each of the next 2 turns. Only one healing mist at a time — the strongest active one wins."
pokemart,hyperPotion,Hyper Potion,1500,regen4,yes,"Restores 48% of max HP instantly, then 48% at the end of each of the next 2 turns. Only one healing mist at a time — the strongest active one wins."
pokemart,maxPotion,Max Potion,1500,healFull,yes,Fully restores HP of one Pokémon.
pokemart,fullRestore,Full Restore,2000,fullRestore,yes,Fully restores HP & cures status.
pokemart,fullHeal,Full Heal,300,cureStatus,yes,Cures all status conditions.
pokemart,maxElixir,Max Elixir,500,elixirFull,yes,Fully restores PP of all moves.
pokemart,xAttack,X Attack,1000,xAtk,yes,+2 Attack stages for this battle.
pokemart,xDefense,X Defense,1000,xDef,yes,+2 Defense stages for this battle.
pokemart,xSpAtk,X Sp. Atk,1000,xSpA,yes,+2 Sp. Attack stages for this battle.
pokemart,xSpDef,X Sp. Def,1000,xSpD,yes,+2 Sp. Defense stages for this battle.
pokemart,xSpeed,X Speed,1000,xSpe,yes,+2 Speed stages for this battle.
pokemart,xAccuracy,X Accuracy,1000,xAcc,yes,+2 Accuracy stages for this battle.
pokemart,direHit,Dire Hit,400,direHit,yes,Raises critical hit ratio.
pokemart,guardSpec,Guard Spec.,450,guardSpec,yes,Prevents stat drops for 5 turns.
dept,greatBall,Great Ball,1000,ball,no,A better ball. 1.5× catch rate vs Poké Ball.
dept,revivalHerb,Revival Herb,1200,revive30,yes,Bitter remedy: revives a fainted Pokémon to 30% HP.
dept,revive,Revive,2500,revive50,yes,Revives a fainted Pokémon to 50% HP.
dept,maxRevive,Max Revive,4000,reviveFull,yes,Revives a fainted Pokémon to full HP.
dept,sunOrb,Sun Orb,500,weatherSun,yes,Starts Harsh Sunlight for 5 turns on battle entry.
dept,rainOrb,Rain Orb,500,weatherRain,yes,Starts Rain for 5 turns on battle entry.
dept,hailOrb,Hail Orb,500,weatherHail,yes,Starts Hail for 5 turns on battle entry.
dept,sandOrb,Sand Orb,500,weatherSand,yes,Starts Sandstorm for 5 turns on battle entry.
dept,electricOrb,Electric Orb,500,terrainElectric,yes,Starts Electric Terrain for 5 turns on battle entry.
dept,grassyOrb,Grassy Orb,500,terrainGrassy,yes,Starts Grassy Terrain for 5 turns on battle entry.
dept,psychicOrb,Psychic Orb,500,terrainPsychic,yes,Starts Psychic Terrain for 5 turns on battle entry.
dept,mistyOrb,Misty Orb,500,terrainMisty,yes,Starts Misty Terrain for 5 turns on battle entry.
dept,emergencyTeleporter,Emergency Teleporter,300,teleport,yes,Bypasses trapping effects once per battle.
dept,evResetCharm,EV Reset Charm,500,evReset,no,Wipes all battle training (EVs) from one Pokémon. Use when you've trained the wrong stats.
stone,fireStone,Fire Stone,500,stone,yes,A stone that radiates heat. Used to evolve certain Pokémon.
stone,waterStone,Water Stone,500,stone,yes,"A clear, cool stone. Used to evolve certain Pokémon."
stone,thunderStone,Thunder Stone,500,stone,yes,A stone that crackles with energy. Used to evolve certain Pokémon.
stone,leafStone,Leaf Stone,500,stone,yes,A stone with a leaf pattern. Used to evolve certain Pokémon.
stone,moonStone,Moon Stone,500,stone,yes,A stone that glows under moonlight. Used to evolve certain Pokémon.
stone,sunStone,Sun Stone,500,stone,yes,A stone shaped like the sun. Used to evolve certain Pokémon.
stone,iceStone,Ice Stone,500,stone,yes,A stone with an icy aura. Used to evolve certain Pokémon.
stone,shinyStone,Shiny Stone,500,stone,yes,A radiant stone. Used to evolve certain Pokémon.
stone,duskStone,Dusk Stone,500,stone,yes,A stone full of dark night. Used to evolve certain Pokémon.
stone,dawnStone,Dawn Stone,500,stone,yes,A stone that sparkles like the dawn. Used to evolve certain Pokémon.
stone,metalCoat,Metal Coat,500,tradeItem,yes,"A metallic film. Held while traded, it triggers evolution."
stone,dragonScale,Dragon Scale,500,tradeItem,yes,"A tough scale. Held while traded, it triggers evolution."
stone,kingsRock,King's Rock,500,tradeItem,yes,"A regal stone. Held while traded, it triggers evolution."
stone,upGrade,Up-Grade,500,tradeItem,yes,"A peculiar disc. Held while traded, it triggers evolution."
stone,dubiousDisc,Dubious Disc,500,tradeItem,yes,"A suspicious disc. Held while traded, it triggers evolution."
stone,protector,Protector,500,tradeItem,yes,"A heavy plate. Held while traded, it triggers evolution."
stone,electirizer,Electirizer,500,tradeItem,yes,"A boxed electric charge. Held while traded, it triggers evolution."
stone,magmarizer,Magmarizer,500,tradeItem,yes,"A boxed magma core. Held while traded, it triggers evolution."
stone,reaperCloth,Reaper Cloth,500,tradeItem,yes,"A torn cloth. Held while traded, it triggers evolution."
stone,deepSeaTooth,Deep Sea Tooth,500,tradeItem,yes,"A fang from the deep. Held while traded, it triggers evolution."
stone,deepSeaScale,Deep Sea Scale,500,tradeItem,yes,"A scale from the deep. Held while traded, it triggers evolution."
stone,prismScale,Prism Scale,500,tradeItem,yes,"A rainbow scale. Held while traded, it triggers evolution."
stone,sachet,Sachet,500,tradeItem,yes,"A fragrant pouch. Held while traded, it triggers evolution."
stone,whippedDream,Whipped Dream,500,tradeItem,yes,"A sweet cream. Held while traded, it triggers evolution."
