pos,eventId,type,name,cityIndex,g1,g2,g3,g4,coins,actions
0,0,City,City0,0,,,,,0,Professor|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Leave City
1,68,Battle,Rival,0,0,0,0,100,2000,
2,1,Battle,Basic Trainer,0,0,0,0,100,1400,
3,3,City,City1,1,,,,,0,Pokemart|Pokemon Fan Club|Gym Battle|Leave City
4,4,Battle,Gym Trainer 1,1,0,0,10,90,1850,
5,5,Battle,Gym Leader 1,1,0,0,25,75,2350,
6,6,City,City1,1,,,,,0,Pokemart|Pokemon Fan Club|Leave City
7,7,Battle,Basic Trainer,1,0,0,25,75,1200,
8,8,Battle,Basic Trainer,1,0,0,35,65,1200,
9,9,City,City2,2,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Gym Battle|Leave City
10,10,Battle,Gym Trainer 1,2,0,0,45,55,2100,
11,11,Battle,Gym Leader 2,2,0,0,50,50,2950,
12,13,City,City2,2,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Leave City
13,14,Battle,Basic Trainer,2,0,0,65,35,1500,
14,15,Battle,Basic Trainer,2,0,0,75,25,1500,
15,16,City,City3,3,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Gym Battle
16,17,Battle,Gym Trainer 1,3,0,0,80,20,2450,
17,18,Battle,Gym Leader 3,3,0,0,75,25,3550,
18,19,City,City3,3,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Leave City
19,12,Battle,Rival,3,0,0,80,20,3500,
20,20,Battle,Basic Trainer,3,0,0,90,10,1700,
21,21,Battle,Basic Trainer,3,0,0,95,5,1700,
22,22,City,City4,4,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Safari Zone|Move Tutor|Battle Dojo|EV Trainer|Gym Battle|Leave City
23,23,Battle,Gym Trainer 1,4,0,0,100,0,2800,
24,24,Battle,Gym Leader 4,4,0,0,100,0,3800,
25,25,City,City4,4,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Safari Zone|Move Tutor|Battle Dojo|EV Trainer|Leave City
26,26,Battle,Basic Trainer,4,0,0,100,0,2000,
27,27,Battle,Basic Trainer,4,0,0,100,0,2000,
28,28,City,City5,5,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Gym Battle|Leave City
29,29,Battle,Gym Trainer 1,5,0,0,100,0,3050,
30,30,Battle,Gym Trainer 2,5,0,5,95,0,3050,
31,31,Battle,Gym Leader 5,5,0,0,100,0,4150,
32,32,City,City5,5,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Leave City
33,33,Battle,Basic Trainer,5,0,0,100,0,2200,
34,34,Battle,Elite Trainer,5,0,15,85,0,2700,
35,35,City,City6,6,,,,,0,Link Station|Evolution Tutor|Stone Shop|Department Store|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
36,36,Battle,Gym Trainer 1,6,0,10,90,0,3300,
37,37,Battle,Gym Trainer 2,6,0,15,85,0,3300,
38,38,Battle,Gym Leader 6,6,0,0,100,0,5550,
39,40,City,City6,6,,,,,0,Link Station|Evolution Tutor|Stone Shop|Department Store|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
40,39,Battle,Rival,6,0,50,50,0,5400,
41,41,Battle,Basic Trainer,6,0,20,80,0,2500,
42,42,Battle,Elite Trainer,6,0,40,60,0,2900,
43,43,City,City7,7,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
44,44,Battle,Gym Trainer 1,7,0,35,65,0,3550,
45,45,Battle,Gym Trainer 2,7,0,45,55,0,3550,
46,46,Battle,Gym Leader 7,7,0,50,50,0,5800,
47,47,City,City7,7,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
48,48,Battle,Elite Trainer,7,0,70,30,0,3000,
49,49,Battle,Elite Trainer,7,0,80,20,0,3000,
50,50,City,City8,8,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Gym Battle|Leave City
51,51,Battle,Gym Trainer 1,8,0,85,15,0,3650,
52,52,Battle,Gym Trainer 2,8,0,95,5,0,3650,
53,53,Battle,Gym Leader 8,8,0,100,0,0,5950,
54,55,City,City8,8,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Leave City
55,56,Battle,Elite Trainer,8,0,100,0,0,4200,
56,57,Battle,Elite Trainer,8,10,90,0,0,4800,
57,58,Battle,Elite Trainer,8,20,80,0,0,5200,
58,59,City,City9,9,,,,,0,Link Station|Evolution Tutor|Stone Shop|Pokemart|Pokemon Fan Club|Department Store|Poké Casino|Move Tutor|Nature Rater|Battle Dojo|EV Trainer|Power Up|Enter Pokemon League
59,60,Battle,E1,9,30,70,0,0,5000,
60,61,Battle,E2,9,40,60,0,0,5000,
61,62,Battle,E3,9,55,45,0,0,5000,
62,63,Battle,E4,9,70,30,0,0,5000,
63,64,Battle,Champion,9,80,20,0,0,7500,
64,65,Battle,Rival,9,75,25,0,0,7200,
65,66,Hall of Fame,Hall of Fame,9,,,,,0,
66,67,Battle,Mystery Figure,9,100,0,0,0,12000,
