category,rank,name,count,pct_of_builds,move_type,move_category
MOVE,1,Earthquake,2780,16.60,Ground,Physical
MOVE,2,Knock Off,2104,12.57,Dark,Physical
MOVE,3,Protect,1997,11.93,Normal,Status
MOVE,4,Stealth Rock,1928,11.51,Rock,Status
MOVE,5,U-turn,1856,11.08,Bug,Physical
MOVE,6,Toxic,1784,10.65,Poison,Status
MOVE,7,Substitute,1598,9.54,Normal,Status
MOVE,8,Ice Beam,1522,9.09,Ice,Special
MOVE,9,Swords Dance,1440,8.60,Normal,Status
MOVE,10,Taunt,1408,8.41,Dark,Status
MOVE,11,Thunderbolt,1358,8.11,Electric,Special
MOVE,12,Roost,1207,7.21,Flying,Status
MOVE,13,Stone Edge,1135,6.78,Rock,Physical
MOVE,14,Close Combat,1122,6.70,Fighting,Physical
MOVE,15,Recover,1066,6.37,Normal,Status
MOVE,16,Psychic,1012,6.04,Psychic,Special
MOVE,17,Shadow Ball,936,5.59,Ghost,Special
MOVE,18,Earth Power,926,5.53,Ground,Special
MOVE,19,Calm Mind,917,5.48,Psychic,Status
MOVE,20,Thunder Wave,886,5.29,Electric,Status
MOVE,21,Focus Blast,873,5.21,Fighting,Special
MOVE,22,Will-O-Wisp,858,5.12,Fire,Status
MOVE,23,Fire Blast,843,5.03,Fire,Special
MOVE,24,Flamethrower,815,4.87,Fire,Special
MOVE,25,Scald,778,4.65,Water,Special
MOVE,26,Volt Switch,743,4.44,Electric,Special
MOVE,27,Sucker Punch,719,4.29,Dark,Physical
MOVE,28,Superpower,688,4.11,Fighting,Physical
MOVE,29,Spikes,673,4.02,Ground,Status
MOVE,30,Draco Meteor,669,4.00,Dragon,Special
MOVE,31,Hidden Power Ice,645,3.85,Ice,Special
MOVE,32,Hydro Pump,641,3.83,Water,Special
MOVE,33,Trick,632,3.77,Psychic,Status
MOVE,34,Rock Slide,627,3.74,Rock,Physical
MOVE,35,Encore,616,3.68,Normal,Status
MOVE,36,Sludge Bomb,615,3.67,Poison,Special
MOVE,37,Moonblast,610,3.64,Fairy,Special
MOVE,38,Defog,609,3.64,Flying,Status
MOVE,39,Nasty Plot,603,3.60,Dark,Status
MOVE,40,Ice Punch,594,3.55,Ice,Physical
MOVE,41,Rest,576,3.44,Psychic,Status
MOVE,42,Rapid Spin,565,3.37,Normal,Physical
MOVE,43,Hidden Power Fire,551,3.29,Fire,Special
MOVE,44,Surf,535,3.20,Water,Special
MOVE,45,Giga Drain,531,3.17,Grass,Special
MOVE,46,Return,528,3.15,Normal,Physical
MOVE,47,Iron Head,528,3.15,Steel,Physical
MOVE,48,Crunch,525,3.14,Dark,Physical
