section,subcategory,rank,name,count,pct_of_builds,move_type,move_category,notes
META,dataset,,builds.csv + moves.json (gens 1–9 merged),16744,100,,,Each build row = one preset; slash moves count each listed option
TOP_ITEMS,,1,Leftovers,2652,15.84,,,
TOP_ITEMS,,2,Life Orb,2044,12.21,,,
TOP_ITEMS,,3,Choice Scarf,1353,8.08,,,
TOP_ITEMS,,4,Eviolite,1014,6.06,,,
TOP_ITEMS,,5,Choice Band,993,5.93,,,
TOP_ITEMS,,6,Heavy-Duty Boots,956,5.71,,,
TOP_ITEMS,,7,Choice Specs,800,4.78,,,
TOP_ITEMS,,8,Focus Sash,688,4.11,,,
TOP_ITEMS,,9,Assault Vest,429,2.56,,,
TOP_ITEMS,,10,Rocky Helmet,337,2.01,,,
TOP_ITEMS,,11,Sitrus Berry,271,1.62,,,
TOP_ITEMS,,12,Black Sludge,205,1.22,,,
TOP_ITEMS,,13,Lum Berry,187,1.12,,,
TOP_ITEMS,,14,Light Clay,158,0.94,,,
TOP_ITEMS,,15,Toxic Orb,150,0.90,,,
TOP_ITEMS,,16,Weakness Policy,119,0.71,,,
TOP_ITEMS,,17,Booster Energy,119,0.71,,,
TOP_ITEMS,,18,Oran Berry,114,0.68,,,
TOP_ITEMS,,19,Berry Juice,114,0.68,,,
TOP_ITEMS,,20,Air Balloon,102,0.61,,,
TOP_ITEMS,,21,Colbur Berry,98,0.59,,,
TOP_ITEMS,,22,Custap Berry,97,0.58,,,
TOP_ITEMS,,23,Power Herb,90,0.54,,,
TOP_ITEMS,,24,Flame Orb,85,0.51,,,
TOP_ITEMS,,25,Expert Belt,75,0.45,,,
TOP_ITEMS,,26,Normalium Z,66,0.39,,,
TOP_ITEMS,,27,Fightinium Z,66,0.39,,,
TOP_ITEMS,,28,Damp Rock,64,0.38,,,
TOP_ITEMS,,29,Mental Herb,62,0.37,,,
TOP_ITEMS,,30,Flyinium Z,62,0.37,,,
TOP_ITEMS,,31,Heat Rock,61,0.36,,,
TOP_ITEMS,,32,Shuca Berry,61,0.36,,,
TOP_ITEMS,,33,Covert Cloak,50,0.30,,,
TOP_ITEMS,,34,Electrium Z,48,0.29,,,
TOP_ITEMS,,35,Waterium Z,48,0.29,,,
TOP_ITEMS,,36,Safety Goggles,47,0.28,,,
TOP_ITEMS,,37,Chople Berry,45,0.27,,,
TOP_ITEMS,,38,Chesto Berry,43,0.26,,,
TOP_ITEMS,,39,Loaded Dice,43,0.26,,,
TOP_ITEMS,,40,Earth Plate,38,0.23,,,
TOP_ITEMS,,41,Silk Scarf,38,0.23,,,
TOP_ITEMS,,42,Rockium Z,38,0.23,,,
TOP_ITEMS,,43,White Herb,37,0.22,,,
TOP_ITEMS,,44,Salac Berry,36,0.22,,,
TOP_ITEMS,,45,Flying Gem,36,0.22,,,
TOP_ITEMS,,46,Groundium Z,36,0.22,,,
TOP_ITEMS,,47,Grassy Seed,36,0.22,,,
TOP_ITEMS,,48,Black Glasses,35,0.21,,,
TOP_ITEMS,,49,Pixie Plate,35,0.21,,,
TOP_ITEMS,,50,Red Orb,35,0.21,,,
TOP_ABILITIES,,1,Regenerator,471,2.81,,,Blank abilities omitted from this section
TOP_ABILITIES,,2,Magic Guard,251,1.50,,,Blank abilities omitted from this section
TOP_ABILITIES,,3,Sturdy,172,1.03,,,Blank abilities omitted from this section
TOP_ABILITIES,,4,Technician,170,1.02,,,Blank abilities omitted from this section
TOP_ABILITIES,,5,Mold Breaker,158,0.94,,,Blank abilities omitted from this section
